Nr.;Variablenname;Datentyp;Beschreibung
1;X;int;Datensatz-ID
2;Hour;int;Stunden seit Beginn der Messungen
3;HR;num;Herzschlag (Schläge/Minute)
4;O2Sat;num;Sauerstoffsättigung (Pulsoxymetrie) (%)
5;Temp;num;Körpertemperatur (°C)
6;SBP;num;Systolischer Blutdruck (mmHg)
7;MAP;num;Mittlerer arterieller Druck (mmHg)
8;DBP;num;Diastolischer Blutdruck (mmHg)
9;Resp;num;Respirationsrate (Atemzüge/Minute)
10;EtCO2;num;endtidaler Kohlendioxidwert (mmHg)
11;BaseExcess;num;Base Excess (mmol/l)
12;HCO3;num;Bicarbonat (mmol/l)
13;FiO2;num;inspiratorische Sauerstofffraktion (%)
14;pH;num;pH-Wert im Blut
15;PaCO2;num;Kohlendioxidpartialdruck  (mmHg)
16;SaO2;num;Arterielle Sauerstoffsättigung (%)
17;AST;num;Aspartat-Aminotransferase (IU/l)
18;BUN;num;Blut-Harnstoff-Stickstoff (mg/dl)
19;Alkalinephos;num;Alkalische Phosphatase (IU/l)
20;Calcium;num;Calcium (mg/dl)
21;Chloride;num;Chlorid (mmol/l)
22;Creatinine;num;Kreatinin (mg/dl)
23;Bilirubin_direct;num;Direkts Bilirubin (mg/dl)
24;Glucose;num;Blutzucker (Glukose) (mg/dl)
25;Lactate;num;Laktat (mg/dl)
26;Magnesium;num;Magnesium (mmol/dl)
27;Phosphate;num;Phosphat (mg/dl)
28;Potassium;num;Kalium (mmol/l)
29;Bilirubin_total;num;Gesamtes Bilirubin (mg/dl)
30;TroponinI;num;Troponin I (ng/ml)
31;Hct;num;Hämatokrit (%)
32;Hgb;num;Hämoglobin (g/dl)
33;PTT;num;Partielle Thromboplastinzeit (Sekunden)
34;WBC;num;Leukozytenanzahl (Anzahl*10^3/µl)
35;Fibrinogen;num;Fibrinogenkonzentration (mg/dl)
36;Platelets;num;Thrombozytenanzahl (Anzahl*10^3/µl)
37;Age;num;Alter, Patienten mit 90 Jahren oder älter werden mit 100 kodiert (Jahre)
38;Gender;int;Geschlecht (0 = weiblich, 1 = männlich)
39;Unit1;num;Patient liegt auf einer internistischen Intensivstation (MICU) (0 = falsch, 1 = wahr)
40;Unit2;num;Patient liegt auf einer chirurgischen Intensivstation (SICU) (0 = falsch, 1 = wahr)
41;HospAdmTime;num;Zeit zwischen Krankenhausaufnahme und Verlegung auf die Intensivstation (Stunden)
42;ICULOS;int;Zeit seit Aufnahme auf der Intensivstation (Stunden)
43;SepsisLabel;int;Outcome (1 = Sepsis ist ausgebrochen oder bricht in den nächsten sechs Stunden aus, 0 sonst)
44;Patient_ID;int;Patienten-ID
